P_site,P_bond,time
0.0,0.0,1.0
0.005025125628140704,0.0,1.0
0.010050251256281407,0.0,1.0
0.01507537688442211,0.0,1.0
0.020100502512562814,0.0,1.0
0.02512562814070352,0.0,1.0
0.03015075376884422,0.0,1.0
0.035175879396984924,0.0,1.0
0.04020100502512563,0.0,1.0
0.04522613065326633,0.0,1.0
0.05025125628140704,0.0,1.0
0.05527638190954774,0.0,1.0
0.06030150753768844,0.0,1.0
0.06532663316582915,0.0,1.0
0.07035175879396985,0.0,1.0
0.07537688442211056,0.0,1.0
0.08040201005025126,0.0,1.0
0.08542713567839195,0.0,1.0
0.09045226130653267,0.0,1.0
0.09547738693467336,0.0,1.0
0.10050251256281408,0.0,1.0
0.10552763819095477,0.0,1.0
0.11055276381909548,0.0,1.0
0.11557788944723618,0.0,1.0
0.12060301507537688,0.0,1.0
0.12562814070351758,0.0,1.0
0.1306532663316583,0.0,1.0
0.135678391959799,0.0,1.0
0.1407035175879397,0.0,1.0
0.1457286432160804,0.0,1.0
0.15075376884422112,0.0,1.0
0.15577889447236182,0.0,1.0
0.16080402010050251,0.0,1.0
0.1658291457286432,0.0,1.0
0.1708542713567839,0.0,1.0
0.17587939698492464,0.0,1.0
0.18090452261306533,0.0,1.0
0.18592964824120603,0.0,1.0
0.19095477386934673,0.0,1.0
0.19597989949748745,0.0,1.0
0.20100502512562815,0.0,1.0
0.20603015075376885,0.0,1.0
0.21105527638190955,0.0,1.0
0.21608040201005024,0.0,1.0
0.22110552763819097,0.0,1.0
0.22613065326633167,0.0,1.0
0.23115577889447236,0.0,1.0
0.23618090452261306,0.0,1.0
0.24120603015075376,0.0,1.0
0.24623115577889448,0.0,1.0
0.25125628140703515,0.0,1.0
0.2562814070351759,0.0,1.0
0.2613065326633166,0.0,1.0
0.2663316582914573,0.0,1.0
0.271356783919598,0.0,1.0
0.2763819095477387,0.0,1.0
0.2814070351758794,0.0,1.0
0.2864321608040201,0.0,1.0
0.2914572864321608,0.0,1.0
0.2964824120603015,0.0,1.0
0.30150753768844224,0.0,1.0
0.3065326633165829,0.0,1.0
0.31155778894472363,0.0,1.0
0.3165829145728643,0.0,1.0
0.32160804020100503,0.0,1.0
0.32663316582914576,0.0,1.0
0.3316582914572864,0.0,1.0
0.33668341708542715,0.0,1.0
0.3417085427135678,0.0,1.0
0.34673366834170855,0.0,1.0
0.35175879396984927,0.0,1.0
0.35678391959798994,0.0,1.0
0.36180904522613067,0.0,1.0
0.36683417085427134,0.0,1.0
0.37185929648241206,0.0,1.0
0.3768844221105528,0.0,1.0
0.38190954773869346,0.0,1.0
0.3869346733668342,0.0,1.0
0.3919597989949749,0.0,1.0
0.3969849246231156,0.0,1.0
0.4020100502512563,0.0,1.0
0.40703517587939697,0.0,1.0
0.4120603015075377,0.0,1.0
0.4170854271356784,0.0,1.0
0.4221105527638191,0.0,1.0
0.4271356783919598,0.0,1.0
0.4321608040201005,0.0,1.0
0.4371859296482412,0.0,1.0
0.44221105527638194,0.0,1.0
0.4472361809045226,0.0,1.0
0.45226130653266333,0.0,1.0
0.457286432160804,0.0,1.0
0.4623115577889447,0.0,1.0
0.46733668341708545,0.0,1.0
0.4723618090452261,0.0,1.0
0.47738693467336685,0.0,1.0
0.4824120603015075,0.0,1.0
0.48743718592964824,0.0,1.0
0.49246231155778897,0.0,1.0
0.49748743718592964,0.0,1.0
0.5025125628140703,0.0,1.0
0.507537688442211,0.0,1.0
0.5125628140703518,0.0,1.0
0.5175879396984925,0.0,1.0
0.5226130653266332,0.0,1.0
0.5276381909547738,0.0,1.0
0.5326633165829145,0.0,1.0
0.5376884422110553,0.0,1.0
0.542713567839196,0.0,1.0
0.5477386934673367,0.0,1.0
0.5527638190954774,0.0,1.0
0.5577889447236181,0.0,1.0
0.5628140703517588,0.0,1.0
0.5678391959798995,0.0,1.0
0.5728643216080402,0.0,1.0
